PDF_Name,TimeRange_1,TimeRange_2,TimeRange_3,TimeRange_4,TimeRange_5,TimeRange_6,TimeRange_7,TimeRange_8,TimeRange_9
126_S.pdf,0.43951332610715005,0.5727272499726939,0.5703609803765526,0.586667014912865,0.5881213365567286,0.5688439401984209,0.5809918115653616,0.5163721790502163,0.5257172262592672
133_S.pdf,0.5053398060144396,0.5641575757627972,0.5620793740323771,0.5588365110821474,0.560520147613082,0.5633599933014516,0.5662410621321056,0.5625364214357867,0.5546562150083622
139_S.pdf,0.49017494823187646,0.5650761600278174,0.5661534617534317,0.6023302390371359,0.6025128877847266,0.5670599927939246,0.5617696519794825,0.6354363534081812,0.5797420701542756
140_S.pdf,0.5295531216790363,0.5707618564600759,0.5674926943012082,0.5636819451423505,0.5620718066320691,0.5681692673463843,0.5662531691483107,0.5630169376172923,0.567346926094622
237_S.pdf,0.4281385387307577,0.5646631958392804,0.5657083127269174,0.5610892218419906,0.5608989913508945,0.5651017227676137,0.592213026086069,0.5596371484327521,0.5452880310793705
238_S.pdf,0.16003942231151216,,,,,,,,0.5
239_S.pdf,0.18304013360102706,0.5673705519392765,0.5775161380552238,0.5775852306179147,0.5753054792089766,0.5811141013432826,0.5697964277964984,0.5729829851665168,0.504770124123971
240_S.pdf,0.17101190298699598,0.5812106379030777,0.5695647767479199,0.5730018673692128,0.5586688864156096,0.5698185824725132,0.7820998751870613,0.5562238261630681,0.5019633088045601
241_S.pdf,0.18988474140452322,0.5788369638855361,0.5741808746714563,0.5677831793821777,0.5666425828466617,0.5727073594224843,0.5704104428196168,0.5712661371877739,0.5062022472636226
242_S.pdf,0.2154377830137913,0.5230080142415119,0.6461717837546818,0.5241985742619054,0.5203007083643344,0.5361465932186126,0.5267296883959323,0.52221643795565,0.5055653675915528
243_S.pdf,0.2966440328124063,0.5827990857650458,0.5783978075787404,0.5770037168882288,0.5764458992114105,0.6517817042715149,0.6164605541011002,0.6141378671109703,0.5287920508762195
244_S.pdf,0.3112534434993129,0.5590488829840515,0.5622002300304596,0.5606089094391343,0.5623031593205683,0.5634280554043876,0.562297874406355,0.561440157534595,0.5248956360628174
245_S.pdf,0.17004427979959733,0.5681053358899973,0.5635788942481448,0.5587667475602839,0.7860011361918957,0.568520498754464,0.566653655641311,0.5686193095557528,0.5020929193898122
